season,match_date,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_xg_form5,away_xg_form5,home_xg,away_xg
2018/19,2019-01-29,Newcastle,Man City,2,1,H,1351.51,1506.545,0.945,2.091,0.992,1.339
2018/19,2019-01-29,Wolves,West Ham,3,0,H,1400.356,1391.701,1.108,0.841,2.036,0.13
2018/19,2019-01-30,Southampton,Crystal Palace,1,1,D,1369.109,1357.471,0.829,1.287,1.333,1.533
2018/19,2019-01-30,Tottenham,Watford,2,1,H,1482.074,1402.809,1.527,1.182,1.362,0.48
2018/19,2019-01-30,Bournemouth,Chelsea,4,0,H,1379.375,1465.215,1.509,1.173,2.151,0.719
2018/19,2019-01-30,Liverpool,Leicester,1,1,D,1537.62,1387.533,2.686,1.363,0.576,1.127
2018/19,2019-02-02,Tottenham,Newcastle,1,0,H,1488.024,1363.91,1.352,1.052,3.104,0.4
2018/19,2019-02-02,Brighton,Watford,0,0,D,1362.113,1396.859,1.136,1.029,1.835,0.279
2018/19,2019-02-02,Burnley,Southampton,1,1,D,1360.015,1366.801,1.856,0.838,2.002,0.788
2018/19,2019-02-02,Cardiff,Bournemouth,2,0,H,1326.83,1389.83,0.51,1.696,2.531,0.352
2018/19,2019-02-02,Chelsea,Huddersfield,5,0,H,1454.759,1278.091,0.878,0.558,2.942,0.26
2018/19,2019-02-02,Crystal Palace,Fulham,2,0,H,1359.778,1321.108,1.107,1.748,2.196,0.561
2018/19,2019-02-02,Everton,Wolves,1,3,A,1393.717,1408.13,1.136,1.243,1.363,1.857
2018/19,2019-02-03,Leicester,Man United,0,1,A,1393.138,1465.469,1.277,2.585,1.401,1.497
2018/19,2019-02-03,Man City,Arsenal,3,1,H,1494.146,1461.34,2.089,2.198,3.031,0.704
